"year","variable","value","tributary"
2013,"num.growDays",154,"stlouis"
2012,"growPercent_year",0.44,"stlouis"
2013,"growPercent_year",0.42,"stlouis"
2012,"num.spawnDays",80,"stlouis"
2013,"num.spawnDays",71,"stlouis"
2012,"spawnPercent_year",0.22,"stlouis"
2013,"spawnPercent_year",0.19,"stlouis"
2012,"spawnDaysRange1",175,"stlouis"
2013,"spawnDaysRange1",188,"stlouis"
2012,"spawnDaysRange2",254,"stlouis"
2013,"spawnDaysRange2",258,"stlouis"
2012,"lastBday",212,"stlouis"
2013,"lastBday",221,"stlouis"
2012,"surviveNum",38,"stlouis"
2013,"surviveNum",34,"stlouis"
2012,"percentSpawnSurvive",0.48,"stlouis"
2013,"percentSpawnSurvive",0.48,"stlouis"
2012,"theoryMin",6.28,"stlouis"
2013,"theoryMin",6.06,"stlouis"
2012,"wintDay",221,"stlouis"
2013,"wintDay",214,"stlouis"
2012,"wintPer",0.61,"stlouis"
2013,"wintPer",0.59,"stlouis"
2012,"num.growDays",222,"vermillion"
2013,"num.growDays",207,"vermillion"
2012,"growPercent_year",0.61,"vermillion"
2013,"growPercent_year",0.57,"vermillion"
2012,"num.spawnDays",121,"vermillion"
2013,"num.spawnDays",109,"vermillion"
2012,"spawnPercent_year",0.33,"vermillion"
2013,"spawnPercent_year",0.3,"vermillion"
2012,"spawnDaysRange1",141,"vermillion"
2013,"spawnDaysRange1",155,"vermillion"
2012,"spawnDaysRange2",261,"vermillion"
2013,"spawnDaysRange2",279,"vermillion"
2012,"lastBday",223,"vermillion"
2013,"lastBday",235,"vermillion"
2012,"surviveNum",83,"vermillion"
2013,"surviveNum",79,"vermillion"
2012,"percentSpawnSurvive",0.69,"vermillion"
2013,"percentSpawnSurvive",0.72,"vermillion"
2012,"theoryMin",5.81,"vermillion"
2013,"theoryMin",5.06,"vermillion"
2012,"wintDay",169,"vermillion"
2013,"wintDay",154,"vermillion"
2012,"wintPer",0.46,"vermillion"
2013,"wintPer",0.42,"vermillion"
